G RANK,Rounded G RANK
G4,G4
G5,G5
G3G4,G3
G3,G3
G4G5,G4
G4TX,TX
GH,GH
G5?,G5
G4T3,T3
GX,GX
G5T2Q,T2
G4T3Q,T3
G4Q,G4
GNR,GNR
G1G2Q,G1
G2G3,G2
G5T3,T3
G5T5,T5
G2,G2
G1G2,G1
G5T4T5,T4
G5T3Q,T3
G5TXQ,TX
G5T3T4,T3
G5Q,G5
G2G4,G3
G4T4,T4
GU,GU
G1G3,G2
GHQ,GH
G3G5,G4
G5T4,T4
G4?,G4
G3?,G3
G5T2,T2
G4T2,T2
G1Q,G1
G3Q,G3
G2T2,T2
G1,G1
G4G5Q,G4
G5?Q,G5
G3G4Q,G3
GNA,GNA
GUQ,GU
G5T5?Q,T5
G5TNRQ,TNR
G5T5?,T5
G5?T5?,T5
G5?TNR,TNR
G5?T3T5,T4
G5?T3,T3
G5T4?,T4
G5TNR,TNR
G5T3T5,T4
G5T3?,T3
G5TUQ,TU
G4G5T4,T4
G5T4Q,T4
G5T1,T1
GNRTNR,TNR
G5TU,TU
G4G5T4T5,T4
G4G5TNR,TNR
G3G5Q,G4
GNRQ,GNR
G5T5Q,T5
G2Q,G2
G2?,G2
G4?T4Q,T4
G5T3T4Q,T3
G4?Q,G4
G3G4T3,T3
G3T3,T3
G5T3T5Q,T4
G1?Q,G1
G4TNR,TNR
G4T4Q,T4
G3G4T3T4,T3
G5 ,G5
G3G4T2,T2
G4?T4?,T4
G5T3?Q,T3
